## Last Updated: 2023-01-25 04:57:23 CST
"No.","Name","ID","State","Nation","Rating","Rating.new","(+/-)"
"56","O'Connor, Steven John","10141770","PA","USA",2140,2144,"(+4)"
"58","Smith, Steven Richard","11097332","PA","USA",2130,2130,""
"=58","Mayers, Raymond Sanchez Sanchez","14692165","PA","USA",2130,2130,""
"63","Leach, Charlie K","10146097","PA","USA",2116,2128,"(+12)"
"60","Jarosz, Stanley J","12230660","MI","USA",2122,2122,""
"61","Hagerty, John Michael","10043816","NJ","USA",2121,2121,""
"=66","Chirillo, John","30051798","IL","USA",2111,2120,"(+9)"
"62","Corbett, Claude W","10214432","SC","USA",2119,2119,""
"=63","Geisleman, Dennis","10282896","IN","USA",2116,2116,""
"=63","Richardson, John","11447627","TX","USA",2116,2116,""
"66","Pressnall, Wayne M","10375355","NE","USA",2111,2111,""
"=66","Lazarus, David","11429009","NJ","USA",2111,2111,""
"57","Kuspa, Joseph Anthony","10295637","CA","USA",2136,2110,"(-26)"
"70","Babcock, Thomas Charles","10841704","MN","USA",2105,2110,"(+5)"
"69","Faber, Craig Allen","12417336","CA","USA",2109,2109,""
"71","Wiggin, Brian C","10237998","AL","USA",2102,2102,""
"72","Weiner, Bruce S","12407176","CA","USA",2093,2101,"(+8)"
"73","Young, William C","10385105","LA","USA",2091,2091,""
"74","West, Tony D.","12565951","MI","USA",2089,2089,""
"75","Gross, Michael","15769173","VA","USA",2088,2088,""
"76","Brown, Harold","12049900","OK","USA",2085,2085,""
"77","Young, Vernon R","12887904","NV","USA",2084,2084,""
"78","Bellnap, Mark S","10305225","CA","USA",2080,2080,""
"79","Flowers, Brian R","12447657","CT","USA",2067,2078,"(+11)"
"81","Godin, Eric J","10030927","MA","USA",2050,2075,"(+25)"
"80","Olivo, Oswaldo Luis","14243006","TX","USA",2064,2072,"(+8)"
"86","Woollen, Allen J","11168426","FL","USA",2039,2067,"(+28)"
"85","Baumer, William","12964534","CA","USA",2040,2054,"(+14)"
"82","Tevrucht, Robert","12759624","CA","USA",2045,2045,""
"83","Wittenstein, Stuart","11122388","CA","USA",2044,2044,""
"84","Gordon-Davis, Patrick","13605253","CA","USA",2043,2037,"(-6)"
"94","Smolensky, Randall K","11092047","OR","USA",2026,2037,"(+11)"
"=87","Krickel, Edward F","12430643","GA","USA",2035,2035,""
"89","Irons, Robert R","12146660","IL","USA",2034,2034,""
"90","Ladson, Preston","12453122","PA","USA",2032,2032,""
"92","Morgan, Richard James","15526500","TX","USA",2028,2028,""
"93","Serovey, Michael Robert","10235278","CO","USA",2027,2027,""
"=94","Panol, Teofil","12446736","NY","USA",2026,2026,""
"96","Crittenton, Lawrence C","10448841","CA","USA",2024,2024,""
"87","Cox, Larry","12429678","IN","USA",2035,2023,"(-12)"
"91","Petersen, Bryan","13531053","CA","USA",2029,2015,"(-14)"
"97","Bragg, William N","10433011","ME","USA",2010,2010,""
"98","Izard, Connor E","12758337","NY","USA",2008,2008,""
"99","Weil, Timothy","12524493","CO","USA",2005,2005,""
"100","Butler, Michael E","12655893","TX","USA",2004,1997,"(-7)"
